,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
5697,"
Barra de labios Color Sensational Bolds nº 883 Maybelline 1 ud.","
 1 Ud. |
6,10 €/ud","6,10 €",,,
5698,"
Barra de labios Color Sensational The Creamy Mattes nº 975 Maybelline 1 ud.","
 1 Ud. |
6,10 €/ud","6,10 €",,,
5699,"
Barra de labios color sensational nº 407 Lust Affair Maybelline 1 ud.","
 1 Ud. |
6,10 €/ud","6,10 €",,,
5700,"
Barra de labios Color Sensational nº 547 Maybelline 1 ud.","
 1 Ud. |
6,10 €/ud","6,10 €",,,
5701,,,,,,
5702,"
Langostinos cocidos Gambafresh 800 g.","
 800 G. |
9,00 €/kg","7,20 €",,,
5703,"
Gambón nº1 Carrefour 1 kg","
 1 Kg |
15,95 €/kg","15,95 €",,,
5704,"
Solomillo de atún congelado Antonio y Ricardo 225 g.","
 225 G. |
23,78 €/kg","5,35 €",,,
5705,"
Rodajas de solomillo de bacalao al punto de sal congelado 300 g","
 300 G. |
26,56 €/kg","8,50 €",,,
5706,"
Mejillón fresco cocido en salmuera con media concha 500 g","
 500 G |
19,98 €/kg","9,99 €",,,
5707,"
Almeja rubia cruda congelada 600 g","
 600 G. |
23,25 €/kg","13,95 €",,,
5708,"
Buey de mar cocido 600 g ","
 600 G |
11,58 €/kg","6,95 €",,,
5709,"
Pan de molde blanco Warburtons 800 g.","
 800 G. |
4,39 €/kg","3,51 €",,,
5710,"
Langostino crudo congelado (30/40 ud) Pescatrade 800 g","
 800 G. |
9,94 €/kg","8,95 €",,,
5711,"
Langostino salvaje cocido 24/32 Carrefour 800 g.","
 800 G. |
14,94 €/kg","11,95 €",,,
5712,"
Langostino crudo ecológico congelado  Pesca Facil 600g ","
 Envase De |
15,90 €/kg","7,95 €",,,
5713,"
Langostinos cocidos Costasur 800 g.","
 800 G. |
10,35 €/kg","7,45 €",,,
5714,"
Cola de langosta congelada cruda Delfín 196 g.","
 196 G. |
70,15 €/kg","13,75 €",,,
5715,"
Tarta helada selva negra 1,5 kg. ","
 1,5 Kg. |
6,97 €/kg","10,45 €",,,
5716,"
Langostino cocido blanco 40/50 Delfín 600 g.","
 600 G. |
11,17 €/kg","6,70 €",,,3x2
5717,"
Langostino pelado gigante Aligator 180 g","
 180 G. |
27,50 €/kg","4,95 €",,,
5718,"
Cigala 13/16 Delfín 700 g.","
 700 G. |
25,21 €/kg","17,65 €",,,
5719,"
Croissant beurre charentes poitou 80 g ","
 80 Gr |
8,62 €/kg","0,69 €",,,
5720,"
Filete de fogonero congelado Dimar 360 g.","
 360 G. |
20,00 €/kg","7,20 €",,,
5721,"
Lomo de bacon Unsmoked 400 g.","
 400 G. |
13,50 €/kg","5,40 €",,,
5722,"
Langostino crudo blanco 40/50 Delfín 600 g.","
 600 G. |
11,17 €/kg","6,70 €",,,3x2
5723,"
Buñuelos de viento gourmet surtido Vircar 24 ud","
 Envase De  |
7,50 €/ud","7,50 €",,,
5724,"
Choclo entero Minka 2 ud.","
 2 Ud. |
7,20 €/kg","4,32 €",,,
5725,"
Gamba cocida congelada Antonio y Ricardo 800 g.","
 800 G. |
16,06 €/kg","12,85 €",,,
5726,,,,,,
5727,"
Tampones sin aplicador normal ecológicos Carrefour Eco Planet 24 ud.","
 24 Ud. |
0,08 €/ud","1,93 €",,,
5728,"
Compresas ultrafinas super con alas ecológicas Carrefour Eco Planet 10 ud.","
 10 Ud. |
0,11 €/ud","1,06 €",,,
5729,"
Protegeslip normal ecológico Carrefour Eco Planet 24 ud.","
 24 Ud. |
0,05 €/ud","1,28 €",,,
5730,"
Tampones super ecológicos Carrefour 32 ud.","
 32 Ud. |
0,08 €/ud","2,50 €",,,
5731,"
Copa menstrual tamaño 2 ecológica Dytas 1 ud.","
 1 Ud. |
9,00 €/ud","9,00 €",,,
5732,"
Copa menstrual tamaño 1 ecológica Dytas 1 ud.","
 1 Ud. |
9,00 €/ud","9,00 €",,,
5733,,,,,,
5734,"
Tortillitas de Camarón Carrefour 400 g.","
 400 G. |
4,68 €/kg",,"
2,25 €","
1,87 €",
5735,"
Pizza atún y cebolla La Mia Grande 410 g.","
 410 G. |
10,00 €/kg","4,15 €",,,3x2
5736,"
Bombón helado de galleta caramelizada Lotus Biscoff pack de 3 ud.","
 Pack 3x90 G. |
1,20 €/ud","3,59 €",,,
5737,"
Helado de caramelo con sal Double Magnum 440 ml.","
 440 Ml. |
19,84 €/kg","6,15 €",,,3x2
5738,"
Bombón helado Double Caramel Magnum 3 ud.","
 3 Ud. |
1,13 €/ud","3,40 €",,,3x2
5739,"
Tiras de Potón del Pacifico rebozadas Carrefour 400 g.","
 400 G. |
5,22 €/kg","2,09 €",,,
5740,"
Sandwich con galletas Maxibon Nestlé Helados 4 ud.","
 4 Ud. |
1,05 €/ud","4,20 €",,,3x2
5741,"
Relleno para fajitas con pollo y verduras Old El Paso 300 g.","
 300 G. |
9,17 €/kg","2,75 €",,,3x2
5742,"
Crepes de trigo con relleno de queso Carrefour 300 g.","
 300 G. |
4,17 €/kg","1,25 €",,,
5743,"
Patata, ternera y bacón Salto Findus 400 g.","
 400 G. |
7,25 €/kg","2,90 €",,,5€ dto.
5744,"
Preparado para sopa de marisco y pescado Carrefour 400 g.","
 400 G. |
7,38 €/kg","2,95 €",,,
5745,"
Croquetas de estofado de pollo 'Recetas Artesanas' La Cocinera 500 g.","
 500 G. |
6,70 €/kg",,"
3,50 €","
3,35 €",3x2
5746,"
Mini bombón helado de vainilla y cookies Magnum pack de 6 unidades de 45 g.","
 Pack 6x45 G. |
0,78 €/ud","4,70 €",,,
5747,"
Tenders barbacosa y miel Fripozo 250 g.","
 250 G. |
8,80 €/kg","2,20 €",,,
5748,"
Noodles con verduras y pollo Findus 350 g.","
 350 G. |
8,00 €/kg","2,80 €",,,
5749,"
Bombón helado de mascarpone, chocolate blanco y arándanos rojos Nuii sin gluten 3 ud.","
 3 Ud. |
1,08 €/ud",,"
3,55 €","
3,25 €",3x2
5750,"
Arepa de maíz blanco Goya 450 g.","
 450 G. |
4,40 €/kg","1,98 €",,,
5751,"
Nuggets de pollo Calvo 400 g.","
 400 G. |
8,50 €/kg","3,40 €",,,
5752,"
Canelones de espinacas y queso Carrefour 500 g.","
 500 G. |
3,70 €/kg","1,85 €",,,
5753,"
Pizza de salami Casa di Mama Dr. Oetker 390 g.","
 390 G. |
9,62 €/kg","3,75 €",,,3x2
5754,"
Preparado para huevos rotos Fripozo 408 g.","
 408 G. |
5,02 €/kg","2,05 €",,,
5755,"
Croquetas de jamón ibérico Clavo 400 g.","
 400 G. |
8,38 €/kg","3,35 €",,,
5756,"
Bombón helado Frac Magnum sin gluten pack de 3 unidades de 110 g.","
 Pack 3x110 G. |
1,15 €/ud","3,45 €",,,
5757,"
Pizza veggie lovers Graden Gourmet 380 g.","
 380 G. |
13,55 €/kg","5,15 €",,,
5758,,,,,,
5759,"
Champú para Perro Uso Frecuente 1L, Carrefour","
 1 L. |
6,25 €/l","6,25 €",,,
5760,"
Carrefour Champú 2en1 para Perro 250ml","
 250 Ml |
13,96 €/l","3,49 €",,,
5761,"
Desodorante suavizante Champú 2en1 para perros Dixie 750 Ml","
 750 Ml |
7,23 €/l","5,42 €",,,
5762,"
Carrefour Champú para Perro Anticaída 250ml","
 250 L |
13,96 €/l","3,49 €",,,
5763,"
Champú repelente de insectos Dixie 350 Ml","
 350 Ml |
12,00 €/l","4,20 €",,,
5764,"
Carrefour Champú para Perro Uso Frecuente 250ml","
 250 L |
13,96 €/l","3,49 €",,,
5765,,,,,,
5766,"
Aceite desmaquillante de ojos ecológico Sante 100 ml.","
 100 Ml. |
8,60 €/100 ml","8,60 €",,,
5767,"
Máscara de pestañas Lash Sensational efecto abanico Maybelline 1 ud.","
 1 Ud. |
8,95 €/ud","8,95 €",,,
5768,"
Máscara de pestañas Total temptation nº 01 black Maybelline 1 ud.","
 1 Ud. |
10,00 €/ud","10,00 €",,,
5769,"
Máscara de pestañas Volumen Millon Felina negro L'Oréal 1 ud.","
 1 Ud. |
14,90 €/ud","14,90 €",,,
5770,"
Máscara de pestañas bambi eye false lash Negro L'Oréal Perfection 1 ud.","
 1 Ud. |
14,95 €/ud","14,95 €",,,
5771,"
Lápiz de cejas medium brown Revolution 1 ud.","
 1 Ud. |
3,70 €/ud","3,70 €",,,
5772,"
Tratamiento de uñas 5 en 1 Rimmel 1 ud.","
 1 Ud. |
5,10 €/ud","5,10 €",,,3x2
5773,"
Perfilador de ojos Le khol nº 107 Deep Sea Blue L'Oréal 1 ud.","
 1 Ud. |
5,65 €/ud","5,65 €",,,
5774,"
Perfilador de ojos Le smoky nº 204 Brown Fusion L'Oréal 1 ud.","
 1 Ud. |
6,50 €/ud","6,50 €",,,
5775,"
Perfilador de ojos Exaggerate nº 001 Negro Rimmel 1 ud.","
 1 Ud. |
6,70 €/ud","6,70 €",,,3x2
5776,"
Lápiz de ojos SuperLiner Perfect Slim L'Oréal 1 ud.","
 1 Ud. |
7,95 €/ud","7,95 €",,,
5777,"
Máscara de cejas Browdrama medium brown Maybelline 1 ud.","
 1 Ud. |
8,05 €/ud","8,05 €",,,
5778,"
Máscara de pestañas Lash Sensational negro intenso Maybelline 1 ud.","
 1 Ud. |
8,95 €/ud","8,95 €",,,
5779,"
Máscara de pestañas volume infusion black Max Factor 1 ud.","
 1 Ud. |
9,55 €/ud","9,55 €",,,3x2
5780,"
Perfilador de ojos perfect stay 24h 090 black Max Factor 1 ud.","
 1 Ud. |
10,45 €/ud","10,45 €",,,3x2
5781,"
Máscara de pestañas architect 4D negro waterproof L'Oréal 1 ud.","
 1 Ud. |
14,10 €/ud","14,10 €",,,
5782,"
Perfilador de ojos Soft Kohl nº 021 Rimmel 1 ud.","
 1 Ud. |
3,00 €/ud","3,00 €",,,3x2
5783,"
Perfilador de ojos ColorShow nº 100 Maybelline 1 ud.","
 1 Ud. |
4,45 €/ud","4,45 €",,,
5784,"
Perfilador de ojos líquido Thick And Thin Revolution 1 ud.","
 1 Ud. |
4,80 €/ud","4,80 €",,,
5785,"
Perfilador de ojos Le khol nº 101 Midnight black L'Oréal 1 ud.","
 1 Ud. |
5,65 €/ud","5,65 €",,,
5786,"
Perfilador de cejas EyeBrow nº 004 Black Brown Rimmel 1 ud.","
 1 Ud. |
5,75 €/ud","5,75 €",,,3x2
5787,"
Lápiz de ojos eyebrow Pencil N01 Rimmel 1 ud.","
 1 Ud. |
5,75 €/ud","5,75 €",,,3x2
5788,"
Eyeliner Master Precise negro Maybelline 1 ud.","
 1 Ud. |
7,15 €/ud","7,15 €",,,
5789,"
Lápiz de ojos Scandal Eyes Waterproof Kohl Kajal 008 blue Rimmel 1 ud.","
 1 Ud. |
7,15 €/ud","7,15 €",,,3x2
5790,,,,,,
5791,"
Cepillo interdental 1,8mm Carrefour 5 ud.","
 5 Ud. |
0,25 €/ud","1,24 €",,,
5792,"
Recambio cepillo dental eléctrico Cross Action Oral-B 2 ud.","
 2 Ud. |
6,10 €/ud","12,20 €",,,3x2
5793,"
Cepillo dental para dientes de leche de 0-6 años Binaca 1 ud.","
 1 Ud. |
3,05 €/ud","3,05 €",,,
5794,"
Cepillo de dientes expert medium Max White Colgate 1 ud.","
 1 Ud. |
3,90 €/ud","3,90 €",,,3x2
5795,"
Cepillo de dientes  bamboo soft ecológico Soft Carrefour 1 ud.","
 1 Ud. |
2,10 €/ud","2,10 €",,,
5796,"
Cepillo dental para dientes sensibles repair & protect suave Sensodyne 1 ud.","
 1 Ud. |
3,45 €/ud","3,45 €",,,
5797,"
Cepillo dental 360º medio Colgate 1 ud.","
 1 Ud. |
3,15 €/ud",,"
3,30 €","
3,15 €",3x2
5798,"
Cepillo dental infantil + 3 años con temporizador Carrefour 1 ud.","
 1 Ud. |
2,30 €/ud","2,30 €",,,
5799,"
Cepillo de dientes triple action medium Colgate 4 ud.","
 4 Ud. |
0,99 €/ud","3,95 €",,,3x2
5800,"
Cepillo interdental fino Carrefour 5 ud.","
 5 Ud. |
0,25 €/ud","1,24 €",,,
5801,"
Recambio universal cepillo dental eléctrico Perfect Angle Carrefour 2 ud.","
 2 Ud. |
3,15 €/ud","6,30 €",,,
5802,"
Cepillo dental con ventosa y mango ergonómico antideslizante +7años Carrefour Kids 1 ud.","
 1 Ud. |
0,96 €/ud","0,96 €",,,
5803,"
Cepillo dental Pro-Expert extra limpieza medio Oral-B 1 ud.","
 1 Ud. |
3,39 €/ud","3,39 €",,,3x2
5804,"
Seda dental 3D White Oral-B 1 ud.","
 1 Ud. |
4,00 €/ud","4,00 €",,,
5805,"
Cepillo dental suave Carrefour 1 ud.","
 1 Ud. |
0,51 €/ud","1,02 €",,,
5806,"
Cepillo dental 360º suave Colgate 1 ud.","
 1 Ud. |
3,30 €/ud","3,30 €",,,3x2
5807,"
Cabezales cepillo eléctrico universal Total Clean Carrefour 2 ud.","
 2 Ud. |
2,02 €/ud","4,03 €",,,
5808,"
Cepillo dental Pro-Expert superior clean 40 medio Oral-B 1 ud.","
 1 Ud. |
2,80 €/ud","2,80 €",,,3x2
5809,"
Cepillo dental Star Wars 6-12 años Oral-B 1 ud.","
 1 Ud. |
2,85 €/ud","2,85 €",,,3x2
5810,"
Cepillo dental eléctrico Vitality Trizone recambio Oral-B 2 ud.","
 2 Ud. |
5,45 €/ud","10,90 €",,,3x2
5811,"
Cepillo dental eléctrico Floss action EB25 recambio Oral-B 2 ud.","
 2 Ud. |
5,65 €/ud","11,30 €",,,3x2
5812,"
Cepillo dental UltraThin Oral-B 1 ud.","
 1 Ud. |
2,09 €/ud","2,09 €",,,3x2
5813,"
Cepillo de dientes sonic power medio Colgate 1 ud.","
 1 Ud. |
5,35 €/ud","5,35 €",,,3x2
5814,"
Cepillo de dientes encías revitalizante Colgate 1 ud.","
 1 Ud. |
4,20 €/ud","4,20 €",,,3x2
5815,,,,,,
5816,"
Toallitas higiénicas perro 40 pcs","
 |
0,10 €/ud","3,95 €",,,3x2
5817,"
Toallitas higiénicas perro 100 pcs","
 |
0,08 €/ud","7,95 €",,,3x2
5818,"
Collar insecticida para perro blanco Dixie","
 1 Ud. |
4,00 €/ud","4,00 €",,,
5819,"
Pack bolsas higiénicas pack 24X20 + hueso dispensador","
 1 Ud. |
0,50 €/ud","11,95 €",,,3x2
5820,"
Collar insectifugo para perro marrón Dixie","
 1 Ud. |
4,15 €/ud","4,15 €",,,
5821,"
Toallitas húmedas con citronella y geranio para perros Vitakraft","
 |
2,95 €/ud","2,95 €",,,3x2
5822,"
Collar insectifugo para perro negro Dixie","
 1 Ud. |
4,20 €/ud","4,20 €",,,
5823,"
Pipetas permetrina para perro pequeño (1-15Kg) Dixie 3X1 ml","
 3 Ud. |
11.950,00 €/ud","11,95 €",,,
5824,"
Pipetas permetrina para perro grande (15-60Kg) Dixie 3X2 ml","
 3 Ud. |
14.800,00 €/ud","14,80 €",,,
5825,"
Pipetas para perro grande con acción repelente Dixie","
 2 Ud. |
4,48 €/ud","8,95 €",,,
5826,"
Solución antiparasitaria Dixie 500 ml","
 1 Unidad |
15,90 €/l","7,95 €",,,
5827,"
Champú espuma seca para perros cachorros SanDimas 200 ml","
 |
4,75 €/ud","4,75 €",,,
5828,"
Peine cortanudos para perro Spayk","
 1 Ud. |
7,95 €/ud","7,95 €",,,
5829,"
2 Pipetas de Insecticida para Perro Grande Dixie 20-40Kg","
 2 Ud. |
6,25 €/ud","12,50 €",,,
5830,,,,,,
5831,"
Queso havarti madurado Arla 150 g.","
 150 G. |
16,60 €/kg","2,49 €",,,5€ dto.
5832,"
Queso latino taco Goya Iberpal 325 gr","
 Pieza De |
9,08 €/kg","2,95 €",,,
5833,"
Queso maasdam madurado graso Juan Luna al corte 300 g aprox","
 Envase De 300.0 G. Aprox |
10,99 €/kg","3,30 €",,,
5834,"
Queso curado mezcla Boffard cuña 1/8 250 g aprox","
 Cuña De 250.0 G. Aprox |
13,45 €/kg","3,36 €",,,
5835,"
Queso semicurado mezcla ya cortado sin lactosa García Baquero cuña 200 g","
 200 G. |
20,25 €/kg","4,05 €",,,3x2
5836,"
Queso de cabra ya cortado García Baquero 250 g","
 250 G |
18,40 €/kg","4,60 €",,,3x2
5837,"
Queso fresco de cabra cincho con sal Angulo al corte 150 g aprox","
 Envase De 150.0 G. Aprox |
12,45 €/kg","1,87 €",,,
5838,"
Queso en porciones El Caserío sin lactosa 250 g.","
 250 G. |
10,60 €/kg","2,65 €",,,
5839,"
Queso en lonchas light Tranchettes 14 unidades de 17,5 g.","
 14 Ud. |
7,80 €/kg","1,91 €",,,
5840,"
Queso azul cremoso extragraso Cantorel al corte 150 g aprox","
 150 G 150.0 G. Aprox |
13,70 €/kg","2,05 €",,,
5841,"
Queso semicurado mezcla mini Carrefour pieza 900 g","
 900 G |
9,44 €/kg","8,50 €",,,
5842,"
Queso blanco pasteurizado ecológico Carrefour Bio 230 g.","
 230 G. |
9,13 €/kg","2,10 €",,,
5843,"
Queso de mezcla azul cabrales D.O.P. El Consorcio de Quesos 200 g aprox","
 Envase De  200.0 G. Aprox |
23,90 €/kg","4,78 €",,,
5844,"
Queso havarti light en lonchas Millan Vicente 150 g.","
 150 G. |
14,33 €/kg","2,15 €",,,
5845,"
Queso rulo de cabra madurado con moho ecológico 180 g","
 Pieza De |
14,44 €/kg","2,60 €",,,
5846,"
Queso de cabra fresco Caprillice 150 g aprox","
 Envase De 150.0 G. Aprox |
12,95 €/kg","1,94 €",,,
5847,"
Queso fresco natural Campolindo 500 g.","
 500 G. |
3,96 €/kg","1,98 €",,,
5848,"
Queso en lonchas tierno García Baquero 80 g.","
 80 G. |
13,12 €/kg","1,05 €",,,3x2
5849,"
Queso en porciones La Vaca que ríe 250 g.","
 250 G. |
8,40 €/kg","2,10 €",,,
5850,"
Queso en porciones light La Vaca que ríe 250 g.","
 250 G. |
9,00 €/kg","2,25 €",,,
5851,"
Queso azul Valdeón De Nuestra Tierra al corte 250 g aprox","
 250 G 250.0 G. Aprox |
17,50 €/kg","4,37 €",,,
5852,"
Tarta de queso 200 g aprox","
 Envase De 200.0 G. Aprox |
7,95 €/kg","1,59 €",,,
5853,"
Queso mozzarela de barra Arla Finello 150 g aprox","
 Envase De 150.0 G. Aprox |
13,30 €/kg","1,99 €",,,
5854,"
Queso gouda rallado Margui 200 g.","
 200 G. |
6,75 €/kg","1,35 €",,,
5855,,,,,,
5856,"
Enjuague bucal plax verde 500 ml.","
 500 Ml. |
0,85 €/100 ml","4,25 €",,,3x2
5857,"
Enjuague bucal infantil Minions Colgate 250 ml.","
 250 Ml. |
1,10 €/100 ml","2,75 €",,,3x2
5858,"
Colutorio 3D White Luxe Brillo Seductor Menta Fresca Oral-B 500 ml.","
 500 Ml. |
1,03 €/100 ml","5,13 €",,,3x2
5859,"
Enjuague bucal para encías sensibles sin alcohol 
Licor del Polo 500 ml.","
 500 Ml. |
0,87 €/100 ml","4,35 €",,,
5860,"
Enjuague bucal menta suave zero Listerine 1l.","
 1l. |
0,93 €/100 ml","9,26 €",,,
5861,"
Enjuague bucal plax soft mint Colgate 100 ml.","
 100 Ml. |
1,07 €/100 ml","1,07 €",,,3x2
5862,"
Enjuague bucal anti-placa Carrefour 500 ml.","
 500 Ml. |
0,27 €/100 ml","1,34 €",,,
5863,"
Enjuague bucal total 12H protección contra la placa bacteriana sin alcohol Colgate 500 ml.","
 500 Ml. |
1,16 €/100 ml","5,80 €",,,3x2
5864,"
Enjuague bucal sensibles cool mint larga duración sin alcohol Sensodyne 500 ml.","
 500 Ml. |
1,08 €/100 ml","5,40 €",,,
5865,"
Colutorio Pro-Expert Dientes Fuertes Menta Oral-B 500 ml.","
 500 Ml. |
1,03 €/100 ml","5,13 €",,,3x2
5866,"
Enjuague bucal advance white menta Listerine 1 l.","
 1 L. |
1,04 €/100 ml","10,40 €",,,
5867,"
Enjuague bucal menta natural ecológico Vademecum 250 ml.","
 250 Ml.  |
2,06 €/100 ml","5,15 €",,,
5868,"
Enjuague bucal con fluor Carrefour 1 l.","
 1 L. |
0,26 €/100 ml","2,60 €",,,
5869,"
Enjuague bucal Anti-Sarro Listerine 500 ml.","
 500 Ml. |
1,08 €/100 ml","5,40 €",,,
5870,"
Spray bucal Pierrot 10 ml.","
 10 Ml. |
24,00 €/100 ml","2,40 €",,,
5871,"
Enjuague bucal mentol Listerine 95 ml.","
 95 Ml. |
1,25 €/100 ml","1,19 €",,,
5872,"
Enjuague bucal Total Care Listerine 250 ml.","
 250 Ml. |
1,52 €/100 ml","3,80 €",,,
5873,"
Enjuague bucal Go! Tabs Listerine 8 comprimidos.","
 8 Ud. |
0,26 €/ud","2,10 €",,,
5874,"
Enjuague bucal antiplaca Carrefour 500 ml.","
 500 Ml.  |
0,27 €/100 ml","1,34 €",,,
5875,"
Enjuague bucal cuidado total Listerine 2x1l.","
 2x1l. |
0,63 €/100 ml",,"
13,80 €","
12,60 €",
5876,"
Enjuague bucal Nightly reset Listerine 400 ml.","
 400 Ml. |
1,20 €/100 ml","4,80 €",,,
5877,"
Enjuague bucal mentol Listerine 250 ml.","
 250 Ml. |
1,52 €/100 ml","3,80 €",,,
5878,"
Enjuague bucal Mentol Listerine pack 2x1l.","
 Pack 2x1l. |
0,63 €/100 ml",,"
13,80 €","
12,60 €",
5879,"
Enjuague bucal Dientes y Encías Listerine pack 2x1l.","
 Pack 2x1l. |
0,63 €/100 ml",,"
13,80 €","
12,60 €",
5880,,,,,,
5881,"
Bebida de arroz y coco sin azúcares añadidos ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,30 €/l","2,30 €",,,
5882,"
Galletas de canela y espelta ecológicas Cereal Bio 155 g.","
 155 G. |
18,71 €/kg","2,90 €",,,
5883,"
Maiz dulce bio ecológico Ibsa sin gluten 150 g.","
 150 G. |
10,33 €/kg","1,55 €",,,
5884,"
Gazpacho ecológico Carrefour granel botella 1 L.","
 Envase De |
2,99 €/l","2,99 €",,,
5885,"
Galletas con cacao y vainilla ecológicas Germinal Bio sin gluten 250 g.","
 250 G. |
12,40 €/kg","3,10 €",,,
5886,"
Galletas rellena de cacao ecológicas Germinal Bio sin gluten 200 g.","
 200 G. |
15,50 €/kg","3,10 €",,,
5887,"
Semilla de lino ecológica Carrefour granel tarrina 125 g","
 Envase De |
7,92 €/kg","0,99 €",,,
5888,"
Bebida de arroz ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,20 €/l","2,20 €",,,
5889,"
Bebida de mijo ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,30 €/l","2,30 €",,,
5890,"
Bebida de arroz y almendra ecológica Isola Bio sin gluten brik 1 l.","
 1 L. |
2,85 €/l","2,85 €",,,
5891,"
Cereales choco leche Bio 100 g","
 100 G |
42,50 €/kg","4,25 €",,,
5892,"
Frutos secos ecológicos bandeja 270 g","
 Envase De |
33,15 €/kg","8,95 €",,,
5893,"
Yogur natural desnatado con leche de cabra pasteurizada ecológica Carrefour 420 g","
 420 G. |
6,90 €/kg","2,90 €",,,
5894,"
Caldo de verduras ecológico Costa Eco sin gluten 1 l.","
 1 L. |
4,25 €/l","4,25 €",,,
5895,"
Caldo de pollo ecológico Costa Eco sin gluten 1 l.","
 1 L. |
4,25 €/l","4,25 €",,,
5896,"
Bebida de avena ecológica Costa Eco 1 l.","
 1 L. |
2,10 €/l","2,10 €",,,
5897,"
Bebida de arroz ecológica Costa Eco con cacao brik 1 l.","
 1 L. |
2,65 €/l","2,65 €",,,
5898,"
Bebida de avena sin azúcares añadidos ecológica YoSoy brik 1 l.","
 1 L. |
1,68 €/l","1,68 €",,,
5899,"
Chocolate negro 85% ecológico Suchard 90 g.","
 90 G. |
20,89 €/kg",,"
2,05 €","
1,88 €",3x2
5900,"
Tomate seco ecológico en aceite de oliva Emperatriz 155 g.","
 155 G. |
20,75 €/kg","1,66 €",,,
5901,"
Azúcar de caña integral ecológico Panela Intermón Oxfam sin gluten sin lactosa 500 g.","
 500 G. |
4,60 €/kg","2,30 €",,,
5902,"
Copos suaves de avena  integral sin azúcares añadidos ecológicos Ecocesta 1 kg.","
 1 Kg. |
3,40 €/kg","3,40 €",,,
5903,"
Tomate triturado extra ecológico Pedro Luis sin gluten 660 g.","
 660 G. |
3,64 €/kg","2,40 €",,,
5904,"
Garbanzo cocido ecológico Pedro Luis 425 g.","
 425 G. |
5,70 €/kg","2,85 €",,,
5905,,,,,,
5906,"
Kit de brochas Fussy 1 ud. ","
 1 Ud. |
8,65 €/ud","8,65 €",,,
5907,"
Pinza con luz y espejo Beter 1 ud.","
 1 Ud. |
8,20 €/ud","8,20 €",,,
5908,"
Brocha gruesa maquillaje en polvo de pelo sintético Beter 1 ud.","
 1 Ud. |
10,50 €/ud","10,50 €",,,
5909,"
Lima recambio durezas persistentes Velvet Smooth Scholl 2 ud.","
 1 Ud. |
14,74 €/ud","14,74 €",,,
5910,"
Pincel difuminador de sombras de pelo sintético Beter 1 ud.","
 1 Ud. |
4,20 €/ud","4,20 €",,,
5911,"
Espejo aumento x10 Fussy 1 ud.","
 1 Ud. |
5,45 €/ud","5,45 €",,,
5912,"
Brocha para polvos Fussy 1 ud.","
 1 Ud. |
6,55 €/ud","6,55 €",,,
5913,"
Borocha angulada colorete de pelo sintético Beter 1 ud.","
 1 Ud. |
7,80 €/ud","7,80 €",,,
5914,"
Alicate manicura uñas 11 cm Beter 1 ud.","
 1 Ud. |
8,75 €/ud","8,75 €",,,
5915,"
Brocha para maquillaje fluido de pelo sintético Beter 1 ud.","
 1 Ud. |
9,85 €/ud","9,85 €",,,
